c Emme Modeller - Matrix Transaction
c Date: 2016-01-24 12:16:36
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mo54   s-0--   0.0 Segment W0                              
   gu02    all   43.3606
   gu05    all  108.8272
   gu06    all  22.31672
   gu07    all  10.32811
   gu08    all   1.32407
   gu09    all  70.27489
   gu10    all  70.78025
   gu11    all  7.446415
   gu12    all  39.74151
   gu13    all  5.201235
   gu14    all  66.31208
   gu16    all  22.75778
   gu21    all  93.13741
   gu22    all  2.672872
   gu23    all  10.82795
   gu24    all  37.05441
   gu25    all  84.62423
a matrix=mo171   s3121   0.0 Segment H3W1MA1                         
   gu01    all  177.7373
   gu02    all  480.7045
   gu05    all  1351.996
   gu06    all  1036.677
   gu07    all  760.8142
   gu08    all  145.4569
   gu09    all  1381.737
   gu10    all  337.0455
   gu11    all  406.5498
   gu12    all  620.5238
   gu13    all  112.7932
   gu14    all  434.8325
   gu16    all  373.5677
   gu21    all  647.5933
   gu22    all  116.1743
   gu23    all   144.801
   gu24    all  470.9609
   gu25    all   1977.87
a matrix=mo172   s3221   0.0 Segment H3W2MA1                         
   gu01    all   103.831
   gu02    all  460.7599
   gu05    all  1117.306
   gu06    all  1425.554
   gu07    all  638.4464
   gu08    all  134.5869
   gu09    all  1451.677
   gu10    all  294.9243
   gu11    all  605.3633
   gu12    all  695.5114
   gu13    all  214.9618
   gu14    all  545.1567
   gu16    all  365.5021
   gu21    all  419.8439
   gu22    all  103.8245
   gu23    all  106.3042
   gu24    all  309.6254
   gu25    all   1342.44
a matrix=mo173   s3321   0.0 Segment H3W3MA1                         
   gu01    all   18.4859
   gu02    all  56.26355
   gu05    all   330.316
   gu06    all  293.2167
   gu07    all  166.4589
   gu08    all   38.0309
   gu09    all  510.8158
   gu10    all  70.08696
   gu11    all  118.3063
   gu12    all  231.1475
   gu13    all  109.0568
   gu14    all  118.2437
   gu16    all  98.47881
   gu21    all  69.79792
   gu22    all  21.64495
   gu23    all  24.36691
   gu24    all  66.25591
   gu25    all  280.0382
a matrix=mo174   s4021   0.0 Segment H4+W0MA1                        
   gu01    all  8.778688
   gu02    all  14.83177
   gu05    all  52.95002
   gu06    all  10.55231
   gu07    all  7.558916
   gu08    all  1.002195
   gu09    all   88.1621
   gu10    all  53.58784
   gu11    all  6.999425
   gu12    all  43.63411
   gu13    all  3.500313
   gu14    all  41.40779
   gu16    all  13.24361
   gu21    all  107.6127
   gu22    all  4.966334
   gu23    all  10.39419
   gu24    all  45.57813
   gu25    all  66.48185
a matrix=mo175   s4121   0.0 Segment H4+W1MA1                        
   gu01    all  56.42026
   gu02    all  170.5906
   gu05    all  850.7784
   gu06    all  745.3816
   gu07    all  408.9675
   gu08    all  100.4909
   gu09    all  1357.352
   gu10    all  295.8805
   gu11    all  323.3026
   gu12    all  592.6004
   gu13    all  80.04535
   gu14    all   548.305
   gu16    all  147.2026
   gu21    all  208.9626
   gu22    all  57.03786
   gu23    all   42.7041
   gu24    all  178.4462
   gu25    all    735.22
a matrix=mo176   s4221   0.0 Segment H4+W2MA1                        
   gu01    all  154.7049
   gu02    all  517.2887
   gu05    all  1309.369
   gu06    all  1779.665
   gu07    all  844.5627
   gu08    all  274.9806
   gu09    all  2598.669
   gu10    all  692.0634
   gu11    all  715.6641
   gu12    all   1356.42
   gu13    all  377.4017
   gu14    all  994.8072
   gu16    all  388.1519
   gu21    all  349.7155
   gu22    all  57.49435
   gu23    all  119.1024
   gu24    all  448.7313
   gu25    all  2107.093
a matrix=mo177   s4321   0.0 Segment H4+W3+MA1                       
   gu01    all  74.63668
   gu02    all  314.4164
   gu05    all  363.5848
   gu06    all   506.949
   gu07    all  349.0668
   gu08    all  96.53549
   gu09    all  1454.926
   gu10    all  129.1865
   gu11    all  221.4005
   gu12    all  612.3568
   gu13    all  139.8562
   gu14    all  407.6763
   gu16    all   91.5449
   gu21    all  56.01319
   gu22    all  38.20939
   gu23    all  54.58976
   gu24    all  192.4478
   gu25    all  1009.948
a matrix=mo178   s1031   0.0 Segment H1W0HA1                         
   gu01    all  493.4271
   gu02    all  704.0191
   gu05    all  438.5581
   gu06    all   253.104
   gu07    all  330.5167
   gu08    all  221.2482
   gu09    all  454.5729
   gu10    all  556.6577
   gu11    all  138.7499
   gu12    all  595.7179
   gu13    all  92.14691
   gu14    all  279.3559
   gu16    all  237.2929
   gu21    all  588.0928
   gu22    all  85.05014
   gu23    all  367.7409
   gu24    all   645.677
   gu25    all  611.0711
a matrix=mo179   s1131   0.0 Segment H1W1HA1                         
   gu01    all  873.6698
   gu02    all  2029.975
   gu05    all   3344.64
   gu06    all  2550.194
   gu07    all  1494.511
   gu08    all  373.5522
   gu09    all  3143.201
   gu10    all  969.3139
   gu11    all   896.549
   gu12    all  1715.488
   gu13    all  316.5978
   gu14    all  1091.298
   gu16    all  1943.031
   gu21    all  4988.591
   gu22    all   25.9578
   gu23    all  1575.106
   gu24    all  2465.594
   gu25    all  6805.953
a matrix=mo180   s2031   0.0 Segment H2W0HA1                         
   gu01    all  789.7728
   gu02    all  742.5242
   gu05    all  705.0082
   gu06    all  621.9473
   gu07    all  593.0041
   gu08    all  269.2676
   gu09    all  908.3924
   gu10    all  678.9108
   gu11    all   276.438
   gu12    all  740.8019
   gu13    all  160.9404
   gu14    all  534.5955
   gu16    all  153.7385
   gu21    all  552.8535
   gu22    all  33.87837
   gu23    all  329.4224
   gu24    all   761.222
   gu25    all   635.292
a matrix=mo181   s2131   0.0 Segment H2W1HA1                         
   gu01    all  444.7514
   gu02    all  1061.768
   gu05    all  759.2732
   gu06    all  1114.232
   gu07    all  995.6793
   gu08    all  328.7125
   gu09    all  2209.959
   gu10    all  602.4839
   gu11    all  494.5587
   gu12    all  937.3114
   gu13    all  216.0056
   gu14    all  553.4852
   gu16    all  309.1797
   gu21    all   1431.21
   gu22    all  34.00133
   gu23    all  499.9092
   gu24    all  1317.907
   gu25    all  1988.452
a matrix=mo182   s2231   0.0 Segment H2W2HA1                         
   gu01    all  773.2387
   gu02    all   2343.96
   gu05    all   2433.93
   gu06    all   2860.11
   gu07    all  1236.817
   gu08    all  432.6515
   gu09    all  3362.599
   gu10    all  831.9753
   gu11    all  1413.679
   gu12    all  2034.156
   gu13    all  768.8583
   gu14    all  1379.738
   gu16    all   1429.28
   gu21    all  2383.169
   gu22    all  408.1614
   gu23    all  749.6213
   gu24    all  1742.864
   gu25    all  5143.063
a matrix=mo183   s3031   0.0 Segment H3W0HA1                         
   gu01    all   32.9481
   gu02    all  56.57846
   gu05    all  46.09142
   gu06    all  14.31794
   gu07    all  26.65278
   gu08    all  7.893233
   gu09    all  26.54307
   gu10    all  54.71218
   gu11    all  4.485184
   gu12    all  13.40238
   gu13    all  3.031027
   gu14    all   3.28042
   gu16    all  10.03314
   gu21    all   4.26231
   gu22    all  .3170491
   gu23    all  19.25083
   gu24    all  58.61911
   gu25    all   12.3208
a matrix=mo184   s3131   0.0 Segment H3W1HA1                         
   gu01    all  157.8864
   gu02    all  289.0913
   gu05    all  303.2121
   gu06    all  279.9245
   gu07    all  382.5568
   gu08    all  98.09446
   gu09    all   482.038
   gu10    all  167.0254
   gu11    all   103.231
   gu12    all  230.4593
   gu13    all  29.35888
   gu14    all  83.35843
   gu16    all  86.63567
   gu21    all   511.137
   gu22    all  2.797315
   gu23    all  128.8747
   gu24    all  378.0926
   gu25    all  689.9958
a matrix=mo185   s3231   0.0 Segment H3W2HA1                         
   gu01    all  318.5389
   gu02    all  893.7768
   gu05    all  890.0551
   gu06    all  908.3361
   gu07    all  464.3835
   gu08    all  118.5466
   gu09    all  1049.567
   gu10    all  261.1754
   gu11    all  372.7448
   gu12    all  619.8861
   gu13    all  138.9398
   gu14    all  347.9813
   gu16    all   299.218
   gu21    all  541.6248
   gu22    all  66.45344
   gu23    all  295.9556
   gu24    all   780.163
   gu25    all  1470.132
a matrix=mo186   s3331   0.0 Segment H3W3HA1                         
   gu01    all  167.1405
   gu02    all  218.3739
   gu05    all  180.3719
   gu06    all   298.647
   gu07    all  147.5657
   gu08    all  37.70104
   gu09    all  393.4548
   gu10    all  64.60458
   gu11    all  117.1855
   gu12    all  391.1438
   gu13    all  120.8171
   gu14    all  151.4986
   gu16    all  55.20909
   gu21    all  72.19252
   gu22    all  12.48701
   gu23    all  42.85997
   gu24    all  100.7575
   gu25    all  278.8796
a matrix=mo187   s4031   0.0 Segment H4+W0HA1                        
   gu01    all   24.9375
   gu02    all  18.04754
   gu05    all  18.61178
   gu06    all   5.15646
   gu07    all  16.38257
   gu08    all  5.621841
   gu09    all  29.89665
   gu10    all  38.43493
   gu11    all  3.224162
   gu12    all  13.38093
   gu13    all  1.560827
   gu14    all  .9992024
   gu16    all  4.870254
   gu21    all  2.460144
   gu22    all  .6824039
   gu23    all  17.28275
   gu24    all   67.8769
   gu25    all  4.773937
a matrix=mo188   s4131   0.0 Segment H4+W1HA1                        
   gu01    all  510.7979
   gu02    all  573.2492
   gu05    all  481.5612
   gu06    all  649.9837
   gu07    all  465.3933
   gu08    all  148.9519
   gu09    all  806.3039
   gu10    all  246.7761
   gu11    all   266.212
   gu12    all  307.8107
   gu13    all   67.6084
   gu14    all  158.4183
   gu16    all  86.56975
   gu21    all   294.577
   gu22    all  2.691153
   gu23    all  218.8576
   gu24    all  829.3473
   gu25    all  812.6363
a matrix=mo189   s4231   0.0 Segment H4+W2HA1                        
   gu01    all  627.5694
   gu02    all  1221.281
   gu05    all  1423.041
   gu06    all  1756.042
   gu07    all  643.4326
   gu08    all  251.5565
   gu09    all  2425.813
   gu10    all  772.6077
   gu11    all  685.3925
   gu12    all  1177.653
   gu13    all  379.6552
   gu14    all  614.3966
   gu16    all  436.2307
   gu21    all  496.8005
   gu22    all    41.181
   gu23    all   290.233
   gu24    all  993.7773
   gu25    all  2366.411
a matrix=mo190   s4331   0.0 Segment H4+W3+HA1                       
   gu01    all  133.8094
   gu02    all  369.8805
   gu05    all  414.4816
   gu06    all  640.2261
   gu07    all  390.4563
   gu08    all   122.969
   gu09    all  1065.171
   gu10    all  114.3707
   gu11    all  273.3963
   gu12    all  532.4153
   gu13    all  193.2563
   gu14    all  260.9811
   gu16    all  108.3192
   gu21    all  57.94026
   gu22    all  21.17089
   gu23    all  69.37191
   gu24    all  212.2959
   gu25    all  910.7703
a matrix=mo191   s1012   0.0 Segment H1W0LA2                         
   gu01    all  121.8637
   gu02    all   245.354
   gu05    all  387.4622
   gu06    all  269.1227
   gu07    all  473.4712
   gu08    all  159.9343
   gu09    all  893.4695
   gu10    all  303.0239
   gu11    all  161.2228
   gu12    all  180.8346
   gu13    all  249.5718
   gu14    all  1451.587
   gu16    all     124.6
   gu21    all  33.33074
   gu22    all  50.43344
   gu23    all  60.13723
   gu24    all  189.4321
   gu25    all  444.8597
a matrix=mo192   s1112   0.0 Segment H1W1LA2                         
   gu01    all  90.37455
   gu02    all  210.6656
   gu05    all  422.3968
   gu06    all  260.4595
   gu07    all  352.5182
   gu08    all  55.79753
   gu09    all  913.6766
   gu10    all  129.1298
   gu11    all  100.1686
   gu12    all  111.9861
   gu13    all  79.80182
   gu14    all  592.6978
   gu16    all  148.3419
   gu21    all  71.44797
   gu22    all  75.28872
   gu23    all  78.79302
   gu24    all  262.8079
   gu25    all  615.8308
a matrix=mo193   s2012   0.0 Segment H2W0LA2                         
   gu01    all  134.5519
   gu02    all  148.3354
   gu05    all   492.379
   gu06    all  276.0728
   gu07    all  503.9745
   gu08    all  133.4982
   gu09    all  845.7227
   gu10    all  268.5251
   gu11    all  128.9565
   gu12    all  164.1884
   gu13    all  171.5089
   gu14    all  1194.911
   gu16    all  66.20812
   gu21    all  12.22033
   gu22    all  10.73786
   gu23    all  18.71441
   gu24    all  128.6984
   gu25    all  289.8254
a matrix=mo194   s2112   0.0 Segment H2W1LA2                         
   gu01    all  75.44585
   gu02    all  218.6942
   gu05    all  445.1029
   gu06    all  273.3343
   gu07    all  549.4803
   gu08    all  121.8923
   gu09    all   1047.68
   gu10    all  151.7702
   gu11    all  127.6044
   gu12    all  158.8769
   gu13    all  123.1924
   gu14    all  761.0285
   gu16    all  109.0296
   gu21    all  32.98592
   gu22    all  24.99201
   gu23    all  50.67488
   gu24    all  233.7455
   gu25    all  448.9361
a matrix=mo195   s2212   0.0 Segment H2W2LA2                         
   gu01    all  52.48965
   gu02    all  212.7678
   gu05    all  515.2268
   gu06    all   270.522
   gu07    all  505.0713
   gu08    all  71.59497
   gu09    all  672.8219
   gu10    all  30.48831
   gu11    all  99.59911
   gu12    all  78.86784
   gu13    all  106.5581
   gu14    all   812.051
   gu16    all  139.3163
   gu21    all  26.37059
   gu22    all  70.59537
   gu23    all  32.59295
   gu24    all  154.9731
   gu25    all  652.7497
a matrix=mo196   s3012   0.0 Segment H3W0LA2                         
   gu01    all  25.42518
   gu02    all  57.60428
   gu05    all  226.9025
   gu06    all  101.4023
   gu07    all  289.1456
   gu08    all  36.16708
   gu09    all  160.5362
   gu10    all  118.1681
   gu11    all  34.75419
   gu12    all  21.36868
   gu13    all  52.67702
   gu14    all  134.4156
   gu16    all  35.19458
   gu21    all  4.403846
   gu22    all  3.150864
   gu23    all  15.40339
   gu24    all  91.58859
   gu25    all  148.5524
a matrix=mo197   s3112   0.0 Segment H3W1LA2                         
   gu01    all  61.99772
   gu02    all  137.7925
   gu05    all  425.9544
   gu06    all  272.7758
   gu07    all  585.3155
   gu08    all   92.0373
   gu09    all  549.2022
   gu10    all   83.8049
   gu11    all  109.8076
   gu12    all  98.54108
   gu13    all  65.60904
   gu14    all  354.2808
   gu16    all  87.44045
   gu21    all  26.75408
   gu22    all  23.22376
   gu23    all  34.69544
   gu24    all  195.4582
   gu25    all  449.4724
a matrix=mo198   s3212   0.0 Segment H3W2LA2                         
   gu01    all   45.7427
   gu02    all   187.393
   gu05    all  481.3682
   gu06    all  306.1738
   gu07    all  805.1578
   gu08    all  95.71926
   gu09    all   736.428
   gu10    all  38.88118
   gu11    all   96.5798
   gu12    all  30.11593
   gu13    all  66.11513
   gu14    all  411.8465
   gu16    all  116.8336
   gu21    all   12.6699
   gu22    all  38.90683
   gu23    all  46.72323
   gu24    all  239.0005
   gu25    all  582.9273
a matrix=mo199   s3312   0.0 Segment H3W3LA2                         
   gu01    all  18.30128
   gu02    all  35.43814
   gu05    all  131.2458
   gu06    all  60.50973
   gu07    all  113.9518
   gu08    all  5.171591
   gu09    all  240.0316
   gu10    all  1.646356
   gu11    all  18.35588
   gu12    all   10.0583
   gu13    all  31.34752
   gu14    all   152.682
   gu16    all  28.73364
   gu21    all  2.517476
   gu22    all  9.214293
   gu23    all  6.137132
   gu24    all  30.60789
   gu25    all   159.865
a matrix=mo200   s4012   0.0 Segment H4+W0LA2                        
   gu01    all  22.96832
   gu02    all  22.10954
   gu05    all  124.3707
   gu06    all  49.71814
   gu07    all  231.5818
   gu08    all  27.74436
   gu09    all  206.7075
   gu10    all   106.623
   gu11    all  33.24695
   gu12    all  24.65368
   gu13    all  36.01823
   gu14    all  98.93387
   gu16    all  23.52583
   gu21    all  5.217883
   gu22    all  6.564199
   gu23    all  16.38702
   gu24    all  117.0558
   gu25    all  124.3481
a matrix=mo201   s4112   0.0 Segment H4+W1LA2                        
   gu01    all  168.6028
   gu02    all  227.0535
   gu05    all  677.3737
   gu06    all  405.7348
   gu07    all   888.382
   gu08    all   180.063
   gu09    all  1516.972
   gu10    all  255.6041
   gu11    all  177.1624
   gu12    all  158.8527
   gu13    all   94.2981
   gu14    all   709.895
   gu16    all  88.44252
   gu21    all   22.1147
   gu22    all   27.3686
   gu23    all  42.00254
   gu24    all  285.5618
   gu25    all   607.901
a matrix=mo202   s4212   0.0 Segment H4+W2LA2                        
   gu01    all  63.06552
   gu02    all  202.3076
   gu05    all   786.154
   gu06    all  419.7614
   gu07    all  702.1312
   gu08    all  73.78481
   gu09    all   1563.23
   gu10    all  115.9036
   gu11    all  122.7718
   gu12    all  111.7504
   gu13    all  124.5879
   gu14    all  997.8065
   gu16    all  173.9211
   gu21    all  11.27267
   gu22    all   17.6997
   gu23    all  40.40785
   gu24    all  252.4265
   gu25    all  701.4907
a matrix=mo203   s4312   0.0 Segment H4+W3+LA2                       
   gu01    all  15.53832
   gu02    all  73.62011
   gu05    all  246.5331
   gu06    all  206.0359
   gu07    all  398.5543
   gu08    all  33.84676
   gu09    all   887.638
   gu10    all  18.52738
   gu11    all  66.08192
   gu12    all  24.66279
   gu13    all  77.18584
   gu14    all  356.8211
   gu16    all  45.67072
   gu21    all  2.034856
   gu22    all  12.99913
   gu23    all  17.64231
   gu24    all  107.8273
   gu25    all  459.7309
a matrix=mo204   s1022   0.0 Segment H1W0MA2                         
   gu01    all  152.9148
   gu02    all  382.1651
   gu05    all  458.2964
   gu06    all  266.6231
   gu07    all  495.7966
   gu08    all  201.0572
   gu09    all  1094.122
   gu10    all  465.3109
   gu11    all  156.3854
   gu12    all  189.4042
   gu13    all  231.8341
   gu14    all  1161.156
   gu16    all  203.0342
   gu21    all  36.08938
   gu23    all   90.4333
   gu24    all  291.8289
   gu25    all  392.0937
a matrix=mo205   s1122   0.0 Segment H1W1MA2                         
   gu01    all   138.493
   gu02    all  419.2348
   gu05    all  782.3565
   gu06    all  592.9926
   gu07    all  844.7768
   gu08    all  209.3289
   gu09    all  1657.877
   gu10    all  349.9991
   gu11    all   223.621
   gu12    all  333.3736
   gu13    all  170.6279
   gu14    all  1097.691
   gu16    all  356.8046
   gu21    all  182.7835
   gu22    all  81.39633
   gu23    all  185.6733
   gu24    all  562.3622
   gu25    all  1202.523
a matrix=mo206   s2022   0.0 Segment H2W0MA2                         
   gu01    all   195.117
   gu02    all  268.7153
   gu05    all  265.8465
   gu06    all  287.6675
   gu07    all   446.753
   gu08    all  144.4047
   gu09    all   862.007
   gu10    all  342.8794
   gu11    all   132.022
   gu12    all  185.9949
   gu13    all  168.4006
   gu14    all  1014.981
   gu16    all  74.45047
   gu21    all  16.27833
   gu23    all  70.98803
   gu24    all  228.7071
   gu25    all  185.2536
a matrix=mo207   s2122   0.0 Segment H2W1MA2                         
   gu01    all  51.80067
   gu02    all  211.3106
   gu05    all  279.1683
   gu06    all  331.1489
   gu07    all  430.0459
   gu08    all  119.8125
   gu09    all  1119.295
   gu10    all  213.7255
   gu11    all  152.1237
   gu12    all  192.5304
   gu13    all  140.8817
   gu14    all   665.715
   gu16    all  96.57019
   gu21    all  39.68783
   gu22    all  .3103303
   gu23    all  30.49443
   gu24    all  75.36766
   gu25    all  389.1874
a matrix=mo208   s2222   0.0 Segment H2W2MA2                         
   gu01    all  122.4626
   gu02    all  652.8606
   gu05    all  1216.656
   gu06    all  853.8926
   gu07    all  1164.312
   gu08    all  323.8561
   gu09    all  2764.012
   gu10    all  522.6418
   gu11    all  317.0804
   gu12    all  515.1158
   gu13    all  326.4289
   gu14    all  2249.121
   gu16    all  498.7554
   gu21    all  143.5925
   gu22    all   105.265
   gu23    all  193.0401
   gu24    all  585.7551
   gu25    all  1502.324
a matrix=mo209   s3022   0.0 Segment H3W0MA2                         
   gu01    all  5.334186
   gu02    all   21.9231
   gu05    all  55.27812
   gu06    all  8.426234
   gu07    all  8.574915
   gu08    all   1.19771
   gu09    all  58.22788
   gu10    all  50.85545
   gu11    all  2.806711
   gu12    all  14.15436
   gu13    all  4.073675
   gu14    all  68.88521
   gu16    all  8.899469
   gu21    all  8.189067
   gu22    all  .5269565
   gu23    all   3.67116
   gu24    all  19.46962
   gu25    all  32.85396
a matrix=mo210   s3122   0.0 Segment H3W1MA2                         
   gu01    all  105.8176
   gu02    all  282.2715
   gu05    all   794.568
   gu06    all  460.2719
   gu07    all  733.9301
   gu08    all  155.2428
   gu09    all  1346.522
   gu10    all  328.5649
   gu11    all   180.728
   gu12    all  259.9968
   gu13    all  104.2625
   gu14    all  599.2166
   gu16    all  169.2997
   gu21    all  66.35645
   gu22    all  26.69351
   gu23    all  57.27141
   gu24    all  289.5074
   gu25    all  890.6228
a matrix=mo211   s3222   0.0 Segment H3W2MA2                         
   gu01    all  92.07622
   gu02    all  512.6091
   gu05    all  1485.666
   gu06    all  1229.347
   gu07    all  1402.858
   gu08    all   280.642
   gu09    all  2746.512
   gu10    all  543.7832
   gu11    all  389.7947
   gu12    all  420.3652
   gu13    all  260.6629
   gu14    all  1451.983
   gu16    all  375.8565
   gu21    all  99.68173
   gu22    all  55.20672
   gu23    all  97.51364
   gu24    all  444.5017
   gu25    all  1387.245
a matrix=mo212   s3322   0.0 Segment H3W3MA2                         
   gu01    all   17.3561
   gu02    all  66.80381
   gu05    all  472.4136
   gu06    all  276.8426
   gu07    all  386.1562
   gu08    all  87.75317
   gu09    all  1060.716
   gu10    all  137.6405
   gu11    all  84.01401
   gu12    all  152.7626
   gu13    all  146.2005
   gu14    all   371.408
   gu16    all  108.9198
   gu21    all  18.41316
   gu22    all  12.55474
   gu23    all  24.39725
   gu24    all    103.81
   gu25    all  313.4479
a matrix=mo213   s4022   0.0 Segment H4+W0MA2                        
   gu01    all  4.681653
   gu02    all  8.182139
   gu05    all  29.53011
   gu06    all  4.075227
   gu07    all  6.751508
   gu08    all  .9074587
   gu09    all  73.83328
   gu10    all  44.19637
   gu11    all  2.653475
   gu12    all  16.02202
   gu13    all  2.753344
   gu14    all  49.12007
   gu16    all  5.776464
   gu21    all  9.514941
   gu22    all  .9536739
   gu23    all  3.796178
   gu24    all  24.43223
   gu25    all  26.92039
a matrix=mo214   s4122   0.0 Segment H4+W1MA2                        
   gu01    all   35.3859
   gu02    all  110.0247
   gu05    all  551.3506
   gu06    all  338.7144
   gu07    all  426.4865
   gu08    all  107.3606
   gu09    all  1337.306
   gu10    all  289.0408
   gu11    all  144.5578
   gu12    all  256.3009
   gu13    all  74.31283
   gu14    all  782.0196
   gu16    all  74.46127
   gu21    all  21.52778
   gu22    all  12.77821
   gu23    all  18.17479
   gu24    all  112.0369
   gu25    all  346.6496
a matrix=mo215   s4222   0.0 Segment H4+W2MA2                        
   gu01    all   139.809
   gu02    all  640.4736
   gu05    all  1940.695
   gu06    all  1572.817
   gu07    all  2036.016
   gu08    all  573.9985
   gu09    all  4973.636
   gu10    all  1323.297
   gu11    all  463.5246
   gu12    all   847.827
   gu13    all  459.6369
   gu14    all  2774.178
   gu16    all  446.1583
   gu21    all  83.44476
   gu22    all  29.87854
   gu23    all  117.2618
   gu24    all  660.4656
   gu25    all  2291.108
a matrix=mo216   s4322   0.0 Segment H4+W3+MA2                       
   gu01    all  74.08725
   gu02    all  421.5722
   gu05    all  582.5293
   gu06    all  491.3932
   gu07    all   899.921
   gu08    all  222.9854
   gu09    all   3057.74
   gu10    all  250.9055
   gu11    all  158.1652
   gu12    all  420.1867
   gu13    all  188.3162
   gu14    all  1242.996
   gu16    all  113.2724
   gu21    all  14.84578
   gu22    all  21.69962
   gu23    all  58.56059
   gu24    all  309.8843
   gu25    all  1195.086
a matrix=mo217   s1032   0.0 Segment H1W0HA2                         
   gu01    all  164.7482
   gu02    all  230.9969
   gu05    all  155.6126
   gu06    all  71.89871
   gu07    all  189.5896
   gu08    all  161.4291
   gu09    all  287.0405
   gu10    all  309.8563
   gu11    all  40.88771
   gu12    all  145.8995
   gu13    all  57.03081
   gu14    all  242.1497
   gu16    all  62.73031
   gu21    all  75.31904
   gu22    all  17.30879
   gu23    all  91.33329
   gu24    all  236.8928
   gu25    all  165.9184
a matrix=mo218   s1132   0.0 Segment H1W1HA2                         
   gu01    all  318.9199
   gu02    all  655.8163
   gu05    all  1171.956
   gu06    all   722.144
   gu07    all  849.0692
   gu08    all  272.3963
   gu09    all  1979.984
   gu10    all  553.1056
   gu11    all  263.9396
   gu12    all  440.8973
   gu13    all  195.8722
   gu14    all  942.9676
   gu16    all   532.757
   gu21    all  632.8345
   gu22    all  5.251482
   gu23    all  389.2442
   gu24    all  898.5104
   gu25    all  1833.506
a matrix=mo219   s2032   0.0 Segment H2W0HA2                         
   gu01    all  321.0006
   gu02    all  286.0319
   gu05    all  277.7505
   gu06    all  187.0902
   gu07    all  383.2559
   gu08    all  197.3258
   gu09    all  603.8234
   gu10    all  407.4456
   gu11    all  83.55616
   gu12    all  204.6329
   gu13    all  100.5005
   gu14    all  496.0271
   gu16    all  43.81954
   gu21    all  70.86282
   gu22    all  6.808349
   gu23    all  85.39636
   gu24    all  302.9432
   gu25    all  187.1735
a matrix=mo220   s2132   0.0 Segment H2W1HA2                         
   gu01    all  168.0434
   gu02    all  404.2854
   gu05    all   295.747
   gu06    all  334.2921
   gu07    all  638.6098
   gu08    all  240.7641
   gu09    all  1466.069
   gu10    all  378.7174
   gu11    all  149.3459
   gu12    all   257.564
   gu13    all  134.8343
   gu14    all    512.15
   gu16    all  88.93362
   gu21    all  181.7024
   gu22    all  6.792379
   gu23    all  128.8533
   gu24    all  521.3609
   gu25    all  582.0203
a matrix=mo221   s2232   0.0 Segment H2W2HA2                         
   gu01    all  479.8907
   gu02    all  1686.731
   gu05    all  2149.752
   gu06    all  1667.091
   gu07    all  1802.607
   gu08    all  618.8238
   gu09    all  4328.158
   gu10    all  993.9628
   gu11    all  618.4392
   gu12    all  836.1404
   gu13    all   629.446
   gu14    all  2472.925
   gu16    all  966.0987
   gu21    all  698.6745
   gu22    all  190.7585
   gu23    all  450.7525
   gu24    all  1605.913
   gu25    all  3466.289
a matrix=mo222   s3032   0.0 Segment H3W0HA2                         
   gu01    all  28.63491
   gu02    all  50.17004
   gu05    all  40.61019
   gu06    all  9.779169
   gu07    all  38.91149
   gu08    all  13.00332
   gu09    all  39.77119
   gu10    all  70.98665
   gu11    all  3.075913
   gu12    all  8.617751
   gu13    all  4.324352
   gu14    all  6.142327
   gu16    all  6.839255
   gu21    all  1.167838
   gu22    all  .1355036
   gu23    all  11.56479
   gu24    all  54.99402
   gu25    all  8.389615
a matrix=mo223   s3132   0.0 Segment H3W1HA2                         
   gu01    all  143.3289
   gu02    all  252.3486
   gu05    all  263.2947
   gu06    all  190.3263
   gu07    all  550.3291
   gu08    all  161.5216
   gu09    all  719.8828
   gu10    all  248.7189
   gu11    all  70.69016
   gu12    all  147.6004
   gu13    all  41.86435
   gu14    all  176.0796
   gu16    all  58.34077
   gu21    all  138.8247
   gu22    all   1.18783
   gu23    all  76.79711
   gu24    all  352.2256
   gu25    all  463.6292
a matrix=mo224   s3232   0.0 Segment H3W2HA2                         
   gu01    all  430.7201
   gu02    all  1470.541
   gu05    all  1745.256
   gu06    all  1199.165
   gu07    all  1517.967
   gu08    all  381.6031
   gu09    all  3046.145
   gu10    all  737.3081
   gu11    all  369.7555
   gu12    all  572.0416
   gu13    all  259.9314
   gu14    all  1422.954
   gu16    all  458.3226
   gu21    all  334.6708
   gu22    all  65.71732
   gu23    all   409.662
   gu24    all  1697.725
   gu25    all  2262.986
a matrix=mo225   s3332   0.0 Segment H3W3HA2                         
   gu01    all   238.483
   gu02    all  373.4369
   gu05    all  372.4451
   gu06    all  430.9802
   gu07    all   499.153
   gu08    all  134.3293
   gu09    all  1251.284
   gu10    all  194.2227
   gu11    all  128.2302
   gu12    all  392.9956
   gu13    all  249.8038
   gu14    all  732.3163
   gu16    all  89.92369
   gu21    all   48.6144
   gu22    all  13.47702
   gu23    all  64.20785
   gu24    all  237.2351
   gu25    all  457.3227
a matrix=mo226   s4032   0.0 Segment H4+W0HA2                        
   gu01    all     23.97
   gu02    all  17.74694
   gu05    all  18.19757
   gu06    all  3.607494
   gu07    all  26.02784
   gu08    all  9.271099
   gu09    all  45.30668
   gu10    all  57.13833
   gu11    all  2.224128
   gu12    all  8.902264
   gu13    all  2.236594
   gu14    all  2.145733
   gu16    all  3.708438
   gu21    all  .6773022
   gu22    all  .2768943
   gu23    all  11.15659
